,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
0,23807,Gida,0.25,female,Unknown Mix,2019-12-10,2019-12-11,2019-12-11,red,short,small,no,,,,,,,
1,533,Frida s Ricsi,0.17,female,Unknown Mix,2019-12-01,2019-12-01,2019-12-09,black and white,short,small,no,,yes,yes,yes,yes,yes,
2,23793,,4.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,short,medium,no,,,,,,,
3,23795,,1.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,yellow-brown,medium,medium,no,,,,,,,
4,23806,Amy,2.0,female,French Bulldog Mix,2019-12-10,2019-12-11,2019-12-11,black,short,small,no,,,,,,,
5,23801,Alex,4.25,male,Unknown Mix,2019-12-09,2019-12-24,2019-12-09,yellow-brown,short,small,yes,,,,,,,
6,534,Ricsi s Frida,0.17,male,Unknown Mix,2019-12-01,2019-12-01,2019-12-09,brown,short,small,no,,yes,yes,yes,yes,yes,
7,23805,,0.17,female,Unknown Mix,2019-12-10,2019-12-25,2019-12-11,gray and white,short,medium,no,,,,,,,
8,23809,,0.17,female,Unknown Mix,2019-12-11,2019-12-26,2019-12-12,black,medium,medium,no,,,,,,,
9,1801,jhartyni Mazsi,0.17,female,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,brown and white,short,small,no,,yes,yes,yes,yes,yes,flat
10,1222,Vasi,3.67,male,Vizsla Mix,2019-10-25,2019-10-25,2019-12-12,red,short,medium,yes,,,,,,,
11,23792,,1.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,medium,medium,no,,,,,,,
12,23797,,5.0,female,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,brown,long,small,no,,,,,,,
13,1800,jhartyni Frenki,0.17,male,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,tricolor,short,small,no,,yes,yes,yes,yes,yes,flat
14,532,Fick,1.5,male,"Bull Terrier, Dachshund Mix",2019-12-01,2019-12-01,2019-12-09,brown and white,short,medium,yes,,yes,yes,no,no,no,
15,23796,,8.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,black,medium,medium,no,,,,,,,
16,1802,jhartyni Bori,0.17,female,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,tricolor,short,small,no,,yes,yes,yes,yes,yes,flat
17,1799,Dabasi Ixorn,0.83,male,Unknown Mix,2019-12-05,2019-12-05,2019-12-09,black,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
18,23794,,1.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,yellow-brown,medium,medium,no,,,,,,,
19,1393,Gizmo,0.5,male,Unknown Mix,2019-12-08,2019-12-10,2019-12-10,spotty,medium,small,yes,,,,,,,
20,23788,Sba,7.58,female,Kuvasz,2019-12-01,2019-12-16,2019-12-08,white,medium,large,yes,,,,,,,
21,4492,Dme,1.0,male,Unknown Mix,2019-11-25,2019-11-25,2019-12-07,black,medium,medium,,,yes,,,,yes,both flat and garden
22,4484,Jocelyn,0.17,female,Unknown Mix,2019-11-27,2019-11-27,2019-12-07,apricot,short,small,,,yes,,yes,yes,,both flat and garden
23,23787,,0.67,female,Unknown Mix,2019-12-07,2019-12-22,2019-12-07,yellow-brown,wirehaired,medium,no,,,,,,,
24,4487,Katica,0.58,female,Unknown Mix,2019-12-03,2019-12-03,2019-12-07,black,short,small,,,yes,,,,,both flat and garden
25,4491,Bethany,5.0,female,Chinese Shar-Pei Mix,2019-11-28,2019-11-28,2019-12-07,black and brown,short,medium,,,yes,,,,,both flat and garden
26,4486,Cotta,0.15,female,Staffordshire Terrier Mix,2019-12-01,2019-12-01,2019-12-07,brown and white,short,medium,,,yes,,yes,yes,,both flat and garden
27,4488,Kehlani,0.42,female,German Shepherd Dog Mix,2019-12-01,2019-12-01,2019-12-07,black and brown,short,medium,,,yes,,,,,both flat and garden
28,23790,,6.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,medium,medium,no,,,,,,,
29,1798,Kakucsi Szikra,2.42,male,Hungarian Vizsla,2019-12-07,2019-12-07,2019-12-07,brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
30,4489,Crosby,1.0,male,"Komondor, Puli Mix",2019-11-27,2019-11-27,2019-12-07,golden,medium,medium,,,yes,,,,,both flat and garden
31,23784,,0.58,male,"Bull Terrier, Staffordshire Terrier Mix",2019-12-06,2019-12-21,2019-12-07,striped,short,medium,no,,,,,,,
32,23789,,0.33,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,black,short,small,no,,,,,,,
33,4490,Bowen,1.0,male,Unknown Mix,2019-11-22,2019-11-22,2019-12-07,brown,medium,large,,,yes,,,,,both flat and garden
34,4485,Panna,0.15,female,Staffordshire Terrier Mix,2019-12-01,2019-12-01,2019-12-07,striped,short,medium,,,yes,,yes,yes,,both flat and garden
35,1795,Szolnoki Joker,1.0,male,Fox Terrier Mix,2019-12-07,2019-12-07,2019-12-07,black and white,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
36,1797,Storaljajhelyi Ding,2.0,male,Unknown Mix,2019-12-05,2019-12-05,2019-12-07,yellow,short,medium,no,,yes,yes,yes,yes,,both flat and garden
37,4483,Valentin,0.67,male,Unknown Mix,2019-12-03,2019-12-03,2019-12-07,apricot,short,small,,,yes,,,,,both flat and garden
38,1796,Szolnoki Chris,1.0,male,Fox Terrier Mix,2019-12-07,2019-12-07,2019-12-07,brown and white,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
39,23791,,4.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,yellow-brown,medium,medium,no,,,,,,,
40,23778,Pufi,8.0,male,Unknown Mix,2019-12-02,2019-12-17,2019-12-02,wild boar,short,small,no,,,,,,,
41,1048,Velencei Fiffi,9.25,female,Afghan Hound,2019-12-01,2019-12-04,2019-12-03,brown,long,medium,yes,yes,yes,,,,,flat
42,2138,Szlks Kan Klyk,0.5,male,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,brown,wirehaired,medium,yes,,,,,,,
43,1793,Szakldi Br,1.42,male,Unknown Mix,2019-12-03,2019-12-03,2019-12-05,brown and white,short,medium,no,,yes,yes,no,yes,,both flat and garden
44,23777,,0.25,male,Unknown Mix,2019-12-02,2019-12-17,2019-12-02,black and tan,wirehaired,small,no,,,,,,,
45,2137,Hnapos Keverk Kan,0.5,male,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,tricolor,medium,medium,yes,,,,,,,
46,2154,Kormi,6.5,male,Unknown Mix,2019-10-07,2019-10-07,2019-12-05,black,short,medium,yes,,,,,,,
47,23780,,0.25,female,Unknown Mix,2019-12-04,2019-12-19,2019-12-04,saddle back,medium,medium,no,,,,,,,
48,1049,Velencei Shyne On,8.42,female,American Bulldog,2019-12-01,2019-12-04,2019-12-03,striped,short,medium,yes,yes,yes,,,,,both flat and garden
49,2153,Lili,3.5,female,Unknown Mix,2019-10-07,2019-10-07,2019-12-05,brown,short,medium,yes,,,,,,,
50,530,Beagle Keverk Kutyusok,0.17,male,Beagle Mix,2019-11-01,2019-11-01,2019-11-30,black and brown,short,medium,no,,yes,yes,yes,yes,,
51,2136,Hnapos Szuka,0.5,female,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,brown,short,medium,yes,,,,,,,
52,531,Beagle Keverk Kutyus,0.17,female,Beagle Mix,2019-11-01,2019-11-01,2019-11-30,brown and white,short,medium,no,,yes,yes,yes,yes,,
53,23774,,1.58,male,Unknown Mix,2019-12-01,2019-12-16,2019-12-01,yellow-brown,wirehaired,small,no,,,,,,,
54,1794,Storaljajhelyi Gesztenye,1.42,male,"Hungarian Vizsla, Staffordshire Terrier Mix",2019-12-05,2019-12-05,2019-12-05,brown,short,medium,no,,yes,yes,yes,yes,,both flat and garden
55,1792,Kakucsi Henrik,1.42,male,Terrier Mix,2019-12-01,2019-12-01,2019-12-01,yellow-brown,medium,small,no,,yes,yes,yes,yes,yes,both flat and garden
56,7927,Sajrsi Foxi s Maxi,0.17,male,Unknown Mix,2019-12-05,2019-12-06,2019-12-05,black and brown,short,small,no,,,,,,,
57,2152,Elsa,2.33,female,Unknown Mix,2019-10-07,2019-10-07,2019-12-05,brown,short,medium,yes,,,,,,,
58,1047,Velencei Gavallr,9.17,male,Hungarian Greyhound,2019-12-01,2019-12-04,2019-12-03,brown and white,short,large,yes,yes,yes,,,,,flat
59,23776,,1.58,male,Unknown Mix,2019-12-01,2019-12-16,2019-12-01,yellow-brown,wirehaired,small,no,,,,,,,
60,1046,Nagyhalszi Szell,0.5,female,Greyhound Mix,2019-11-27,2019-11-30,2019-11-27,yellow,short,medium,,,,,,,,flat
61,4481,Allegra,0.42,female,Unknown Mix,2019-11-28,2019-11-28,2019-11-28,black and brown,short,small,,,yes,,yes,yes,,both flat and garden
62,1791,Dabasi Bors,1.0,male,Staffordshire Terrier Mix,2019-11-28,2019-11-28,2019-11-28,brown,short,medium,no,,yes,yes,yes,yes,,both flat and garden
63,1787,Inrcsi Hektor,0.25,male,"German Shepherd Dog, Staffordshire Terrier Mix",2019-11-24,2019-11-24,2019-11-25,yellow-brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
64,23757,Vlad,0.17,male,Unknown Mix,2019-11-27,2019-12-12,2019-11-27,yellow-brown,short,small,no,,,,,,,
65,23756,Zsmi,6.0,male,Unknown Mix,2019-11-26,2019-12-11,2019-11-26,yellow-brown,short,medium,no,,,,,,,
66,4482,Ponglina,0.58,female,Unknown Mix,2019-11-15,2019-11-15,2019-11-28,apricot,short,medium,,,yes,,yes,yes,yes,both flat and garden
67,1041,Pola,2.0,female,"English Greyhound, Spanish Greyhound Mix",2019-11-17,2019-11-18,2019-11-25,yellow,short,medium,yes,yes,yes,,,,,flat
68,1042,Bong,2.0,male,Greyhound Mix,2019-11-17,2019-11-18,2019-11-25,black and white,short,medium,yes,,,,,,,both flat and garden
69,4480,Lummia,0.33,female,Unknown Mix,2019-11-25,2019-11-25,2019-11-28,black,short,medium,,,yes,,yes,yes,,both flat and garden
